module_path,class,reason,sqlite_tables,uses_w14_ontology,depends_on,migration_priority
sylion/grpc_stubs,A,"Auto-generated *_pb2.py / *_pb2_grpc.py files. Generated from sylion/contracts/proto/. Stays — W15 will generate its own stubs from manifests; existing stubs are independent.",,false,"sylion/contracts","P2"
sylion/infra,A,"Two helpers: cache.py and topology_templates.py. No tables, no router. Pure utility. Stays.",,false,"","P2"
sylion/integration,A,"orchestrator.py + drift_detector.py — 3 tables (candidate_builds, integration_results, drift_records) for build/integration tracking. Platform plumbing similar to execution; not domain. Stays.","candidate_builds;integration_results;drift_records",false,"sylion/core/event_bus","P2"
sylion/memory,A,"10 modules: book_generator, compact_layer, evidence_store, indexer, kanon_access, kb_adapter, self_model_store, retrieval, bootstrap. Tables are storage-layer caches/indexes/snapshots — text_index, compaction_records, stored_evidence, model_snapshots. The book/kanon entities are read-mostly artifact stores serving Cognitive — stays as a memory/index sublayer beneath W15. Domain payload (Idea, EvidencePack) is owned by cognitive/governance, not by memory.","generated_books;book_chapters;compaction_records;stored_evidence;evidence_queries;text_index;index_metadata;kanon_sections;kb_sources;kb_queries;self_models;model_snapshots",false,"sylion/cognitive;sylion/governance/evidence_spine","P2"
sylion/monitoring,A,"11 telemetry modules (anomaly_detector, circuit_breaker, config_drift_detector, metric_aggregator, model_budget, model_performance, notification_engine, pipeline_monitor, self_healing, sla_monitor). 20+ tables but all platform-observability data (metric_points, observations, anomalies, sla_breaches, healing_incidents, breaker_events). Not domain payload. Stays — and is what W15/W17 query for health, not what gets lifted.","metric_points;metric_aggregates;model_metrics;model_performance_summary;circuit_breakers;breaker_events;notification_channels;notification_rules;notifications;notification_log;notification_preferences;notification_user_channels;config_baselines;drift_reports;pipeline_runs;pipeline_metrics;pipeline_alerts;healing_rules;healing_incidents;healing_actions;observations;metric_baselines;anomalies;model_budgets;budget_usage;budget_alerts;sla_definitions;sla_checks;sla_breaches",false,"sylion/observability;sylion/core/event_bus","P2"
sylion/observability,A,"6-file telemetry hub (hub, log_aggregator, metrics_registry, pii_redactor, prometheus_exporter, tracing). No SQLite tables of its own (uses Prometheus / external sinks). Pure platform. Stays.",,false,"","P2"
sylion/operator_mobile,A,"Tiny module (bridge, dispatcher, secrets, store) with 1 table (operator_mobile_devices). Mobile gateway scaffold — will gain weight when W18 Operator Terminal lands. Currently small and standalone enough to stay; revisit at W18 charter.","operator_mobile_devices",false,"sylion/security","P2"
sylion/pipeline,A,"Single state_machine.py with 2 SQLite tables (pipeline_run_states, pipeline_state_log). Platform plumbing for pipeline state transitions. Stays.","pipeline_run_states;pipeline_state_log",false,"sylion/core","P2"
sylion/project_mode,B,"23 SQLite tables in store.py + engine.py — Projects/Stages/Questions/Answers/Decisions/CanonEntries/Masterplans/Modules/Events/WorkerPool/CouncilMembers/CouncilVotes/HierarchyLayers/AutonomyConfig/AuditResults/CostLedger/Notifications/SkillReuseLog/BrainMemoryEntries/BrainEmbeddings/BrainPromptLibrary/BrainLoraDatasets/BrainLoraAdapters. This is the second-biggest single-store module in the codebase (134 references). Pure first-class domain — Project / Stage / Decision are core W15 objects.","project_projects;project_stages;project_questions;project_answers;project_decisions;project_canon_entries;project_masterplans;project_modules;project_events;project_worker_pool;project_council_members;project_council_votes;project_hierarchy_layers;project_autonomy_config;project_audit_results;project_cost_ledger;project_notifications;project_skill_reuse_log;brain_memory_entries;brain_embeddings;brain_prompt_library;brain_lora_datasets;brain_lora_adapters",false,"sylion/cognitive/idea_vault;sylion/governance/council_hybrid;sylion/aeis/advisor;sylion/memory","P0"
sylion/quality,C,"6 modules (golden_set_registry, golden_set_runner, quality_gate, quality_gate_engine, regression_detector, test_runner) with 12 tables. golden_sets / golden_run_results / regression_alerts / test_suites / test_runs ALL have W14 ontology counterparts (EvaluationSuite, RegressionRun, TestSuite, TestRun, GoldenSet semantics). DUPLICATION CANDIDATE: post-W15 G3 (W14→W15 lift) the W14 ontology becomes single source of truth and these modules collapse into thin wrappers OR get deleted, with quality gate logic moving into sylion/aeis/testing. Top deprecation candidate alongside sim and db migrations.","golden_sets;golden_set_cases;golden_set_results;baselines;regression_alerts;test_suites;test_runs;golden_runs;golden_run_results;sylion_quality_gates;sylion_quality_results;quality_gates;gate_evaluations",true,"sylion/aeis/testing","P1"
sylion/rebuild,A,"8 modules (cft_runner, cutover_automation, cutover_controller, golden_set_manager, lpw_checkpoint, lpw_manager, orchestrator, rebuildability_framework) — 17 tables tracking cutover sessions and rebuild plans/snapshots. Rebuild governance is platform-runtime (LPW versions, snapshots, fidelity_results) — internal to the rebuildability subsystem. Some overlap with W14 ReleaseCandidate semantics but the cutover sequencing is operational, not data-modeled. Stays — W17 Deployment Plane will consume rebuild, not absorb it.","lpw_versions;lpw_snapshots;cft_suites;cft_results;lpw_checkpoints;cutover_sessions;rollback_contracts;cutover_metrics_log;rebuild_snapshots;rebuild_history;rebuild_plans;golden_sets;golden_test_cases;fidelity_results;cutover_plans;cutover_events;rebuild_steps",false,"sylion/aeis/testing;sylion/governance;sylion/quality","P2"
sylion/sdr,A,"5 RF/SDR modules (capture_orchestrator, protocol_decoder, rf_safety_governor, sdr_gateway, signal_analyzer) — 6 tables for hardware lab telemetry. Standalone domain orthogonal to AEIS ontology. Stays.","analysis_results;sdr_devices;rf_policies;rf_events;decoded_protocols;captures",false,"sylion/devices","P2"
sylion/security,A,"24 modules (audit_query, audit_sink, audit_trail_aggregator, auth_provider, bootstrap_flow, bootstrap_init, evidence_signer, evidence_signer_v2, execution_guard, hardened_audit, key_store_unified, key_vault, phantom_wrapper, policy_engine, profile_manager, profile_swap, profile_unified, profiles, rbac, secret_provider, security_audit, security_profiles, session_broker, session_manager, sops_provider, startup_check). 30+ tables but all platform/security-runtime (auth_users, sessions, security_events, audit_log, keystore_entries, secrets). Per §2 v2 plan, security plane is out of W15 scope (deferred to potential W19). Stays unchanged; W15 OSDK does not lift API keys, sessions, or audit trail.","auth_providers;auth_users;auth_sessions;auth_tokens;sink_audit_log;sink_subscriptions;sink_deliveries;audit_entries;audit_queries;bootstrap_flows;flow_steps;flow_executions;bootstrap_state;execution_policies;execution_approvals;execution_log;keystore_entries;keystore_audit;phantom_sessions;phantom_operations;signing_keys;signed_evidence;policies;policy_evaluations;api_keys;model_hierarchies;council_member_configs;hardened_audit_log;audit_chains;security_profiles;profile_rules;active_profile_state;module_profile_assignments;profile_audit_trail;user_accounts;sessions;audit_events;secrets;secret_versions;secret_access_log;managed_sessions;profile_swaps;swap_audit;security_findings;security_scans;remediation_actions;security_events;security_alerts;security_access_log",false,"","P2"
sylion/sim,C,"_db_shim.py duplicates 6 advisor_engine tables in flat (non-schema-qualified) names for sim/test fixtures. runner.py + scenarios.py + personas.py heavily overlap aeis/testing/personas + simulation engine. After W15 there is one canonical PG schema for advisor objects + W14 test ontology — this shim/runner should be deleted, scenarios consolidated into aeis/testing/simulation. Top deprecation candidate.","advisor_engine_recommendations;advisor_engine_llm_judge_audit;advisor_engine_rule_definitions;advisor_engine_rule_firing_history;advisor_evidence_packs;advisor_evidence_pack_signatures",true,"sylion/aeis/advisor;sylion/aeis/testing","P1"
sylion/skills,B,"7 modules (catalog, demand_analyzer, demand_signal, executor, registry, runtime, schemas) with 8 tables. Domain (Skill, DemandSignal, SkillExecution, MarketplaceCatalogEntry) is exactly the W7 Skills Registry surface and is targeted by §8.2 Role Catalog extension. Lift to OSDK; W15 manifest replaces hand-written CREATE TABLEs.","skills;catalog_entries;executions;runtime_executions;demand_signals;demand_reports;sylion_demand_signals;sylion_skill_demand",false,"sylion/cognitive;sylion/aeis/advisor","P0"
sylion/surface,A,"Console UI/API surface (artifact_control, command_bus, console_api, console_ui, event_sourcing_store, process_canvas, readiness_engine, ws_gateway). Surface CONSUMES domain objects from cognitive/governance/advisor — its tables (intents, artifacts, canvases, ws_connections, event_stream) are operator-side platform state (commands issued, artifacts uploaded, sockets open). W18 Operator Terminal extends surface but doesn't lift these tables. Stays; W18 reads from W15 OSDK rather than rewriting surface.","intents;intent_events;ui_components;ui_layouts;api_endpoints;api_requests;ws_connections;ws_messages;artifacts;upload_sessions;event_stream;event_log;snapshots;canvases;canvas_nodes;canvas_edges;readiness_checks_registry;readiness_reports;readiness_check_results",false,"sylion/cognitive;sylion/aeis/advisor;sylion/aeis/testing","P2"
sylion/vps,A,"Single provider_manager.py with 4 tables (vps_providers, vps_allocations, vps_certifications, vps_health_probes). VPS-fleet metadata; will be subsumed/extended by W17 Deployment Plane Node Registry, but until W17 G2 stays as-is (W17 will likely consume it via gRPC, not absorb the module).","vps_providers;vps_allocations;vps_certifications;vps_health_probes",false,"sylion/security","P2"
sylion/worker,A,"7 modules (assignment, autoscaler, compact, monitor, registry, runtime, sandbox) with 3 tables (worker_registry, worker_assignments, build_topology). Pure runtime worker pool — platform infra. Stays.","worker_registry;worker_assignments;build_topology",false,"sylion/core","P2"
